n_authors,Session,Order,abstract_number,category,article-title,surname1,given-names1,aff1,abstract,fn-group,surname2,given-names2,aff2,surname3,given-names3,aff3,surname4,given-names4,aff4,surname5,given-names5,aff5,surname6,given-names6,aff6,surname7,given-names7,aff7,surname8,given-names8,aff8,surname9,given-names9,aff9,surname10,given-names10,aff10,surname11,given-names11,aff11,surname12,given-names12,aff12,surname13,given-names13,aff13,surname14,given-names14,aff14,surname15,given-names15,aff15,surname16,given-names16,aff16,surname17,given-names17,aff17
7,6,2,21,"Contributed Talk","Ex-vivo human crystalline lenses geometrical changes during simulated disaccommodation",Martinez-Enriquez,Eduardo,"Instituto de Óptica, Consejo Superior de Investigaciones Cientificas, Madrid, Spain.","The young crystalline lens changes its shape to focus targets at different distances, a capability (accommodation) that is lost with age. Quantifying crystalline lens morphology during accommodation and aging is essential for understanding basic mechanisms of function and disease (presbyopia and cataract). 
We studied the geometrical changes of the ex-vivo human crystalline lens while simulating different levels of physiological disaccommodation using a motorized lens-stretcher system designed for this purpose. 14 human lenses (11-54 y/o) from donor eyes were radially stretched mounted in the lens-stretcher and immersed in a cuvette filled with balanced salt solution for preservation purposes. Lens geometry and power were characterized using custom-developed high resolution 3-D optical coherence tomography (OCT) and laser ray tracing system coupled with the OCT. 
The lens thickness decreased linearly 81 microns/diopter (D) of simulated disaccommodation (-r=0.87, p<0.001), the diameter increased 76 microns/D (r=0.84, p<0.01), the radius of curvature of the anterior surface increased 0.63 mm/D (r=0.92, p<0.001), the lens surface area increased 1.9 mm2/D (r=0.62, p<0.01) and the lens volume remained constant. The same stretching displacement produced larger deformations in younger than in older lenses. 
Simultaneous high resolution optical and geometrical measurements of stretched lenses therefore match results in vivo and support the Helmholtz theory of accommodation.
","European Project IMCUSTOMEYE H2020-ICT-2017 Ref. 779960; European Project SILKEYE H2020-ERC-2018-ADG Ref.833106; Spanish government grant PID2020-115191RB-I00, NIH Grants P30; Research to Prevent Blindness Departamental Funds to Flaum Eye Institute and Bascom Palmer Eye Institute; NIH NIE P30EY 001319; Unrestricted Funds Research to Prevent Blindness, NY; National Institutes of Health (R01EY021834; a National Institutes of Health Center Core Grant (P30EY014801); Florida Lions Eye Bank and Beauty of Sight Foundation; Hyderabad Eye Research Foundation.","Maceo Heilman",Bianca,"Ophthalmic Biophysics Center, Bascom Palmer Eye Institute, University of Miami Miller School of Medicine, Miami, FL, United States; Department of Biomedical Engineering, University of Miami College of Engineering, Coral Gables, FL, United States. ","De Castro",Alberto,"Instituto de Óptica, Consejo Superior de Investigaciones Cientificas, Madrid, Spain.",Mohamed,Ashik,"Ophthalmic Biophysics, L V Prasad Eye Institute, Hyderabad, Telangana, India; Brien Holden Vision Institute Limited, Sydney, NSW, Australia.",Ruggeri,Marco,"Ophthalmic Biophysics Center, Bascom Palmer Eye Institute, University of Miami Miller School of Medicine, Miami, FL, United States.",Manns,Fabrice,"Ophthalmic Biophysics Center, Bascom Palmer Eye Institute, University of Miami Miller School of Medicine, Miami, FL, United States; Department of Biomedical Engineering, University of Miami College of Engineering, Coral Gables, FL, United States. ",Marcos,Susana,"Instituto de Óptica, Consejo Superior de Investigaciones Cientificas, Madrid, Madrid, Spain; Center for Visual Science. The Institute of Optics. Flaum Eye Institute, University of Rochester, Rochester, NY, United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,3,22,"Contributed Talk","In vivo imaging of immune cell activity in primate retina after photoreceptor ablation",Ashbery,Drew,"University of Rochester Medical School and Center for Visual Science","The non-human primate (NHP) is the gold standard animal model for preclinical development of gene and cell based therapies for vision restoration. However, the ocular immune response to these interventions remains poorly understood. We conducted a proof of concept study using offset aperture adaptive optics scanning light ophthalmoscopy (AOSLO) to visualize cellular-scale changes in the primate retina following photoreceptor (PR) ablation. Ultrafast 730nm laser exposure at 26.6 - 32.5 J/cm2 was used to create six lesions in four NHPs. Offset aperture images focused on retinal vascular layers were collected with an offset distance of ~10 Airy Disk Diameters from 15 minutes up to three hours after PR ablation. We observed putative immune cells in and around vessels supplying the lesioned areas. Consistent with previous findings in murine models, cells within vessels adhered to the inner wall, exhibited crawling behavior, and had a diameter ranging from ~9.3 - 11.5 µm. Additionally, we observed the emergence of cellular-scale structures above the PR layer that originated in the center of the lesion 15 minutes post-insult and gradually radiated outward. Vascular perfusion was maintained in these regions. Our data suggest that offset aperture imaging offers cellular-scale, label free, in vivo assessment of the retinal response to insult in NHPs and could be employed to advance our understanding of the ocular immune response provoked by disease and therapeutic interventions.","Research reported in this publication was supported by the National Eye Institute of the National Institutes of Health under the AGI initiative NIH U24 EY033275 (to McGregor), R01 EY028293 (Schallek), CVS core support from NIH P30 EY0001319. The content is solely the responsibility of the authors and does not necessarily represent the official views of the National Inst. of Health. Additional funding from the Steven. E. Feldon Scholarship from the Flaum Eye Institute (McGregor), a Career Development Award, Career Advancement Award (Schallek) and Unrestricted Grant to the University of Rochester Department of Ophthalmology from Research to Prevent Blindness, New York, New York and a summer fellowship from the University of Rochester Medical School (Ashbery).",Baez,Hector,"University of Rochester Center for Visual Science and Biomedical Education Department",Kunala,Karteek,"University of Rochester Center for Visual Science",Power,Derek,"University of Rochester Center for Visual Science",Schallek,Jesse,"Flaum Eye Institute and Center for Visual Science",McGregor,Juliette,"Flaum Eye Institute and Center for Visual Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,4,23,"Contributed Talk","Immune cell speed changes over 5 orders of magnitude in response to inflammation in the retina.",Dholakia,Kosha,"University of Rochester","Inflammation in vascularized tissues is mediated by circulating immune cells that are recruited to damaged tissue. Immune cells undergo dramatic changes in speed and motility indicating the severity and staging of inflammation. Here, we characterize the spectrum of retinal leukocyte kinetics in response to an acute inflammatory stimulus using adaptive optics scanning light ophthalmoscopy (AOSLO) in living mice.
C57BL/6J male mice were injected intravitreally with 1 µL lipopolysaccharide (LPS) and imaged at 6, 24 and 72 hours after LPS injection using phase contrast and fluorescence AOSLO. Speed of circulating leukocytes (n= 286 cells, 2 mice) was measured with 15kHz point-scan imaging using automated approach (Joseph et al. 2019). Rolling leukocytes (n=300 cells, 5 mice, 6 hrs after LPS) and extravasated cells (n=92 cells, 8 mice) were visualized with time-lapse imaging and manually tracked using ImageJ.
Using our custom AOSLO, we observed leukocyte speeds spanning 5 orders of magnitude in the living retina. The fastest speeds were the circulating leukocytes (13,257.37 ± 7,086.41 µm/s). After LPS, leukocytes roll along the venular wall, where cell speed was 1000x slower (11.45 ± 7.45 µm/s.) When immune cells extravasated into the tissue, cell speed dropped further by 100x (0.3 ± 0.15 µm/s).
Observed leukocyte speeds cluster around three distinct velocity bands that stratify the unique and purposeful behavior of these cells as they progress through the inflammatory cascade.","NIH Grant R01 EY028293, P30 EY001319, Career Development Award, Career Advancement Award (Schallek) and Unrestricted Grant to the University of Rochester Department of Ophthalmology from Research to Prevent Blindness, New York, New York , and a research collaboration grant from Genentech Inc.",Huh,"Jin Won","University of Rochester",Schallek,Jesse,"University of Rochester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,1,24,"Invited Talk","Imaging the visual brain at high spatiotemporal resolution",Ji,Na,"University of California, Berkeley","Since the discovery of orientation-selective neurons in the cat primary visual cortex (V1), how the mammalian nervous system computes the orientation of visual stimuli has been a flagship question in neuroscience. With the recent advances in in vivo imaging of neural activity using genetically encoded indicators and two-photon fluorescence microscopy, we can now achieve synapse-resolving functional imaging and kilohertz imaging of membrane voltage in the mouse V1. I will describe our recent advancements in imaging visual processing at high spatiotemporal resolution, as well as two studies on the orientation selectivity of neurons in the mouse visual pathway. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,2,25,"Invited Talk","Three-photon imaging reveals the neural basis of fMRI across cortical layers",Kara,Prakash,"University of Minnesota","V1 is ideally suited to study the spatial organization of neurovascular coupling at the level of synapses, neurons, individual blood vessels and laminar-resolution fMRI. This is because at least in layers 1 and 2/3 of V1, the functional micro-architecture for neurons, synapses and blood vessels has been determined using 2-photon imaging (Ohki et al 2005 Nature; Kara and Boyd 2009 Nature; O’Herron et al 2016 Nature). Hence, feature selectivity, e.g., orientation and direction selectivity of spiking, synaptic and hemodynamic activity in layer 2/3 is known. However, the micro-architecture of layer 4 neural activity (spiking and synaptic) along with individual blood vessel responses is unknown because conventional 2-photon imaging cannot access deeper cortical layers. The organizing principles of neural maps and the selectivity of hemodynamic responses is of paramount importance for laminar processing because the thalamic inputs arriving into layer 4 are untuned. 3-photon imaging triples the imaging depth compared to 2-photon imaging. Using this optical technique and high-resolution fMRI, we have determined the extent to which different types of neural (spiking, synaptic) and vascular signals (blood flow from individual vessels and fMRI voxels) are coupled across cortical layers in the cat V1. Our data show systematic changes in selectivity of hemodynamic signals across cortical layers that have clear underpinnings in neural circuitry and the propagation of hemodynamic signals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,3,26,"Invited Talk","Toward an all-optical bi-directional interrogation of topographic population codes in primate cortex
",Seidemann,Eyal,"University of Texas Austin","The representation of visual stimuli in primate V1 is widely distributed and topographic. This raises the possibility that in some visual tasks, downstream areas that decode V1 signals in order to mediate perception could combine V1 signals at a relevant topographic scale—e.g., at the scale of orientation columns. If this were the case, then the fundamental unit of information would be individual columns rather than single neurons, and to account for the subject’s behavior in a perceptual task, it would be necessary and sufficient to consider the summed activity of the thousands of neurons within each column. In this presentation I will discuss our initial attempts to test this topographic-code hypothesis using our optical-genetic toolbox for “reading” and “writing” neural population codes at the spatial scales of topographic maps in V1 of behaving macaques.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,4,27,"Invited Talk","Development of natural scene processing continues after the critical period for ocular dominance plasticity closes",Kuhlman,Sandra,"Carnegie Mellon University","The development of the visual system is known to be shaped by early-life experience.  How complex responses to naturalistic scenes emerge from neurons that are innately tuned to simple orientations is an active area of investigation.  Using 2-photon calcium in awake mice, we found that natural scene discriminability increases by 75% between the ages of 4 to 6 weeks in primary visual cortex. This increase in decoding accuracy is accompanied by a shift in neuronal preference towards natural scenes. Natural scene discriminability, therefore, continues to improve past the peak of the critical period for ocular dominance plasticity at postnatal day (p) 28. Notably visual deprivation specifically from p28 to p42 interfered with the full development of this preference shift and impaired natural scene decoding accuracy.  We are currently exploring the circuit basis for this protracted development.  We speculate that a sequential progression in which neurons first prefer simple stimuli such as oriented bars of light (grating stimuli) prior to the development of selectivity for complex features may help ensure that the spatial organization of receptive fields is maintained as the system becomes refined to represent salient visual cues as animals expand their behavioral repertoire and learn to navigate complex environments.","NIH R01EY024678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1,28,"Invited Talk","Disturbances of retinal structure in schizophrenia spectrum disorders and their clinical implications",Silverstein,"Steven M.","Departments of Psychiatry, Neuroscience, and Ophthalmology, University of Rochester","Schizophrenia (SZ) is a disabling psychiatric condition that is characterized by disturbances in reality testing (e.g., hallucinations, delusions) during its acute phase and by many brain-related impairments. It has become apparent, however, that the CNS disturbance in SZ extends to the retina. Studies have demonstrated retinal structural (neural and vascular) and functional (e.g., ERG) changes in SZ, although findings vary in effect size and confounds are often present. This presentation will review several studies from my lab that used OCT and OCTA to investigate retinal characteristics of people with SZ, with a focus on characterizing within-group heterogeneity. Results indicate that: 1) retinal thinning is present at the macula, but not until several years after the first psychotic episode; 2) reductions in microvasculature density are observable as early as the first episode and worsen over time at a greater rate than expected by age alone; 3) microvasculature reductions are present in both the superficial and deep retinal layers; and 4) issues such as diabetes, smoking, and obesity must be carefully considered when studying the retina in SZ. Findings will be discussed within the context of the emerging view that SZ is multi-system disorder with a significant vascular-ischemic component.","Supported by a grant from the New York Fund for Innovation in Research and Scientific Talent (NYFIRST)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,2,29,"Invited Talk","Early prediction of multiple sclerosis using scanning laser ophthalmoscopy (SLO) video sequence data with a Deep Learning (DL) based approach",Xing,Joe,"C. Light Technologies, Inc.","Introduction: Multiple Sclerosis (MS) is a chronic immune-mediated inflammatory disease (IMID) of the central nervous system (CNS). Early identification of MS, especially as a screening method for at-risk individuals, is crucial to delay disease progression and improve patient outcomes by preventing future irreversible neurologic damage. In this work, we utilize well-validated tracking scanning laser ophthalmoscope (TSLO) image to predict MS compared to the unaffected controls. While traditional Machine Learning (ML) methods, such as Logistic Regression (LR), have demonstrated a strong predictive power [Mauro F. Pinto et al., 2020] in disease identification, we propose the use of a novel DL based model. Though the use of Deep Neural Network (DNN), this model can have a much higher learning capacity to capture latent features embedded in the retinal images. We hypothesize that such latent information, often hidden in ML feature engineering processes, plays an important role for the prediction of disease and can be well represented by DL models. Objectives: To establish a DL based model capable of learning latent image features to provide predictive power for the presence of MS. Aims: Utilize a deep convolutional neural network to extract the retinal coding and implement a recurrent neural network to learn the temporal correlations in video sequences. Methods: Our approaches were tested using a 250-subject MS/control database collected at the UCSF. Patients with Expanded Disability Status Scale (EDSS)< 4 are compared to healthy subjects. Both raw retinal images and the frequency and spatial patterns of the eye motion are combined to construct a hybrid image, denoted as “retinal coding”, and directly fed to the DL model for training and testing. Results: Preliminary results on predictive power were measured using Area-under-Curve (AUC) of the Receiver Operating Characteristics (ROC) curve, sensitivity, and specificity, as well as an F-1 score. We observe an AUC of 0.920, sensitivity of 0.90, specificity of 0.89 and F-1 score of 0.89 using the DL model to distinguish MS from controls, which outperforms the baseline LR model by 24%. Conclusions: This work can be considered as a proof-of-concept concerning the possibility of identifying MS disease using a DL based approach. The results demonstrate the possibility of predicting early-stage MS and understanding disease’s dynamics. Such end-to-end model could be generalizable and trained on other disease states.",None,Green,Ari,"University of California San Francisco",Sheehy,Christy,"C. Light Technologies, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8,3,30,"Invited Talk","Seeking Answers through a keyhole: Harnessing the Synergy of Dynamic OCT/OCT Angiography and Adaptive Optics SLO for Retinal Assessment of Systemic Disease ",Rosen,Richard,"New York Eye and Ear Infirmary","The retina is our only non-invasive access to microworld of the body’s capillaries and cellular activities. Leveraging the multimodal synergy of combining dynamic methods of OCT/OCTA, with Adaptive Optics SLO, clinicians have new opportunities to better appreciate some of the complexities of human disease. Serial OCTA imaging can reveal inconsistencies in retinal perfusion not appreciated on single images and can be used to measure activity status of sickle cell microvasculopathy. This approach facilitates earlier detection and immediate assessment of disease burden. AOSLO imaging provides cellular level resolution for confirmation of these OCTA events. En face OCT reflectance images which accompany OCTA studies offer a glimpse of the macrophage-like cellular activity above the retinal surface which responds to systemically instigated vascular events below. The complementary use of AOSLO to characterize morphology of these cells provides clues to their activation status and potential role in tissue maintenance and repair. Features of clinical OCT/OCTA interpreted by AOSLO imaging have the potential to become useful clinical biomarkers of disease activity and response to treatment.","National Eye Institute of the National Institutes of Health under award numbers R01EY027301, P30EY026877, R01EY031360, R01EY032147, R01EY032669, Marrus Family Foundation, Wise Family Foundation, J Milbank Foundation, New York Eye & Ear Research Foundation, Jorge N. Buxton Microsurgical Foundation, Violett Charitable Foundation, Challenge Grant award from Research to Prevent Blindness",Otero-Marquez,Oscar,"New York Eye and Ear Infirmary",Migacz,Justin,"New York Eye and Ear Infirmary",Zhou,Davis,"New York Eye and Ear Infirmary",Pinhas,Alexander,"New York Eye and Ear Infirmary",Castanos,Maria,"New York Eye and Ear Infirmary",Ahsanuddin,Sofia,"New York Eye and Ear Infirmary",Rickford,Kara,"New York Eye and Ear Infirmary",Murillo,Brian,"New York Eye and Ear Infirmary",Zhou,Rebecca,"New York Eye and Ear Infirmary",Spellman,Lily,"New York Eye and Ear Infirmary",Sredar,Nrupin,"Stanford University",Gillette,Peter,"Kings County Hospital",Weitz,Rishard,"New York Eye and Ear Infirmary",Glassberg,Jeffrey,"Icahn School of Medicine at Mount Sinai",Dubra,Alfredo,"Stanford University",Chui,Toco,"New York Eye and Ear Infirmary"
1,8,4,31,"Invited Talk","In vivo study of higher-order retinal hemodynamics in human retinal capillaries",Zhang,Yuhua,"Doheny Eye Institute, Department of Ophthalmology, University of California - Los Angeles","Pulsatile erythrocyte flow in human retinal capillaries reflects the capillary-blood flow system's mechanical condition and represents a fundamental functioning aspect of retinal microcirculation. Inside the capillary, the erythrocytes are continuously accelerated and decelerated by systemic pressure and hydrostatic and osmotic pressures periodically with the heartbeat. This process can be described by the Navier-Stokes equation: ρ(∂v/∂t+v∙∇v)=-∇P+∇∙T, ρ is the density, v is the velocity, P is the pressure, and T represents the stress tensor. The time variation of the flow velocity (∂v/∂t), i.e., the acceleration, is a higher-order dynamics term (compared to velocity) of the pulsatile flow, reflects the temporal variation of the hemodynamic forces, and informs the dynamic mechanical properties of the erythrocyte-capillary system. Higher-order dynamics relating to the acceleration of the erythrocytes in retinal capillaries have not been investigated in the human eye due to inadequate technical measures. This study aims to characterize the higher-order retinal hemodynamics and identify sensitive biomarkers for quantifying age-related changes in the retinal microcirculation using high-speed adaptive optics near-confocal ophthalmoscopy. In human subjects in normal physical health with different ages, we demonstrate that higher-order hemodynamic characteristics of the erythrocyte flow in the retinal capillary can disclose age-related differences in the retinal microcirculation.","NIH R01EY024378), W. M. Keck Foundation, Carl Marshall Reeves & Mildred Almen Reeves Foundation, and Research to Prevent Blindness/Dr. H. James and Carole Free Catalyst Award for Innovative Research Approaches for AMD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9,1,32,"Contributed Talk","In vivo calcium imaging of macaque foveolar retinal ganglion cells reveals spatiochromatic receptive field properties",Godat,Tyler,"University of Rochester","Here, we optically record responses to spatial and chromatic stimuli using a calcium indicator in the living macaque eye to characterize the receptive field (RF) properties of retinal ganglion cells (RGCs) serving the foveal center. GCaMP6s was expressed in three female macaques. Adaptive optics ophthalmoscopy was used to image fluorescence (488nm ex, 520/35nm em) from RGCs whose RF centers were driven by cones in the central 36 arcmin of the fovea and additional RGCs driven by cones in the central 6 arcmin of the foveola. Using cone isolating and luminance flicker (1.3deg, 0.15Hz, LED 420nm, 530nm, 660nm), we derived cone weights in over 250 RGCs. Using drifting gratings (1.9deg, 6Hz, 4-50c/deg, 561nm), we derived the spatial frequency responses of 15 L vs. M cone opponent RGCs at the foveolar center. Employing computational modeling (ISETbio), we inferred the full spatial difference of gaussians center and surround structure for those 15 cells. Of the 34 foveolar RGCs, 44% exhibited L vs. M cone opponency, 15% were L+M ON, 6% were -L-M OFF, and 35% showed only L or only M responses. The spatial frequency response functions of 12/15 L vs. M opponent cells peaked at high spatial frequencies (25-40c/deg) and had a strong bandpass characteristic. Our model indicates that the responses of all 15 L vs. M opponent cells are consistent with single cone input to their RF centers and that our data are consistent with extrafoveal data when the blurring of the optics is accounted for.","This work was supported by the National Eye Institute through grants NIH EY007125, NIH U01EY025497, NIH EY031467, NIH EY021166, and through an unrestricted grant to the Flaum Eye Institute from Research to Prevent Blindness.",Cottaris,"Nicolas P.","University of Pennsylvania",Patterson,Sara,"University of Rochester",Kohout,Kendall,"University of Rochester",Parkins,Keith,"University of Rochester",Yang,Qiang,"University of Rochester",Strazzeri,"Jennifer M.","University of Rochester Medical Center",McGregor,"Juliette E.","University of Rochester",Brainard,"David H.","University of Pennsylvania",Merigan,"William H.","University of Rochester",Williams,"David R.","University of Rochester",,,,,,,,,,,,," ",,,,,
4,9,2,33,"Contributed Talk","Identifying Specific Neural Substrates for Bayesian-like Computations in Binocular Vision and Multisensory Processing",Billock,"Vincent A.","Leidos, Inc. at the Naval Aerospace Medical Research Laboratory, Naval Medical Research Unit - Dayton","Bayesian thinking is influential in vision but the grounding of Bayesian computation in wetware is poorly understood.  Bayesian reliability (inverse variance) weighting of inputs is predicted by Maximum Likelihood Estimation Theory and has some psychophysical support, but evidence for neural reliability weighting is sparse and neural modeling of reliability weighting is tricky.   However, reliability averaging is just one possible perceptual weighted average.  An alternative – nonlinear magnitude-weighted averaging – was suggested by Schrodinger in 1926 to account for suprathreshold binocular perception and is available to repurpose for other sensory cue combinations.  We identified macaque suppressive binocular neurons that implement nonlinear magnitude-weighted averaging and approximate Bayesian averaging, without suffering the computational difficulties that Bayesian averaging implies.  We then applied the binocular modeling to suppressive multisensory (visual-tactile, audio-tactile, and audio-visual) neurons.  Although magnitude-weighting is a better fit than reliability-weighted averaging for cortical firing rates (in all four cases and in three different species), nonlinear magnitude-weighted averaging is well correlated with reliability averaging.   Magnitude-weighted averaging could serve as a surrogate for Bayesian calculations; mildly suppressive binocular and multisensory bimodal neurons could be neural correlates of Bayesian-like computation in the brain.","MAM: NIH NS039460; KD: 1R01EY027402-02, T32EY007135, and core grant P30EY008126; VAB & AMP: Office of the Assistant Secretary of Defense for Health Affairs & the Defense Health Agency J9 Research and Health Directorate, Defense Health 6.7 Program #DP_67.2_17_J9_1757, work unit # H1814.  ",Dougherty,Kacie,"Princeton Neuroscience Institute, Princeton University",Meredith,"M. Alex","Dept. of Anatomy & Neurobiology, Virginia Commonwealth University",Preston,"Adam M.","Naval Aerospace Medical Research Laboratory, Naval Medical Research Unit - Dayton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9,3,34,"Contributed Talk","Preclinical & clinical evaluation of flavoprotein fluorescence as a label-free biomarker of retinal mitochondrial stress",Heaster,Tiffany,Genentech,"Retinal oxidative stress is linked to the development and progression of various retinal diseases including AMD and glaucoma. In response to oxidative stress, flavoproteins within the electron transport chain become oxidized and autofluoresce upon blue light exposure. We investigated the specificity of flavoprotein fluorescence (FPF) to mitochondrial oxidative stress in retinal cells in vitro and its reliability as a clinical biomarker for longitudinal monitoring of glaucoma. Preclinical FPF evaluation assessed mitochondria-specific FPF and reactive oxygen species (ROS) in retinal cells via confocal microscopy to characterize response to injury and oxidative stress perturbations. FPF intensity was directly correlated with increased stress-induced mitochondrial ROS (R2=0.693), confirming FPF signal origin. Clinical FPF measurements were evaluated using the OcuMet Beacon, a noninvasive retinal metabolic imaging device. FPF images were collected at macular and peripapillary regions of patients with stable glaucoma or glaucoma suspects (n=52) during baseline and three-month follow-up visits. Macular and peripapillary FPF scores showed strong correlation between patient baseline and follow-up measurements (r=0.996, lens-adjusted r=0.937, 0.972). These results confirm the relationship between FPF and oxidative stress in retinal cells and highlight FPF as a reproducible clinical imaging biomarker, supporting further discovery in rodent disease models and additional patient cohorts.",Genentech,Kim,Julia,Genentech,"De Arrigunaga",Sofia,"Massachusetts Eye and Ear, Harvard Medical School",Kang,Joyce,"Massachusetts Eye and Ear, Harvard Medical School",Freeman,Sandra,"Massachusetts Eye and Ear, Harvard Medical School",Lin,Michael,"Massachusetts Eye and Ear, Harvard Medical School",Gao,Simon,Genentech,Friedman,David,"Massachusetts Eye and Ear, Harvard Medical School",Chang,Dolly,Genentech,Elstrott,Justin,Genentech,,,,,,,,,,,,,,,,,,,,,
9,9,4,35,"Contributed Talk","Characteristics of electrically-induced visual percepts in the first human with the Intracortical Visual Prosthesis",Barry,"Michael P","Illinois Institute of Technology","The Intracortical Visual Prosthesis (ICVP) consists of multiple wireless floating microelectrode arrays (WFMAs), each with 16 stimulating electrodes. Stimulation of these electrodes can potentially provide artificial vision for people who are blind. Twenty-five WFMAs were implanted in the right occipital visual cortex of a participant in an FDA-approved, NIH-sponsored Phase 1 clinical trial (NCT04634383). Here, we report characteristics of visual percepts elicited by the WFMAs (frequency: 200 Hz, cathodic phase duration: 200 µs, amplitude and train length up to 60 µA and 900 ms). Stimulation of single electrodes in 10 WFMAs and groups of 4 or more electrodes in 7 additional WFMAs consistently produced percepts during >10 sessions across approximately 3 months of testing. Phosphenes generated within a single WFMA were typically similar in appearance. Descriptions included configurations of rings, bright or dark dots, and constant or flickering bars, with sizes of 0.3–12° across. Phosphenes appeared as blueish-white, or occasionally orange, red, or having an iridescent texture. Ten WFMAs produced phosphenes within a 4° cluster centered 4° below and to the left of fixation. Phosphenes from 4 other WFMAs were located 4° below or 20° left of the cluster. When using these phosphenes to scan a virtual line, the participant was able to discriminate horizontal and vertical lines (46/51 correct, p < 10^−8, binomial test), and 45° and 135° diagonal lines (12/14 correct, p < 0.01).","NIH Grant # 4UH3NS095557-03",Sadeghi,Roksana,"Johns Hopkins University",Towle,"Vernon L","University of Chicago",Stipp,Kelsey,"Illinois Institute of Technology",Grant,Patricia,"The Chicago Lighthouse for People Who Are Blind or Visually Impaired",Lane,"Frank John","Illinois Institute of Technology",Szlyk,"Janet P","The Chicago Lighthouse for People Who Are Blind or Visually Impaired",Dagnelie,Gislin,"Johns Hopkins University",Troyk,"Philip R","Illinois Institute of Technology",,,,,,,,,,,,,,,,,,,,,,,,
3,10,1,36,"Contributed Poster","Dynamic visual processing in post-saccadic V1 visual responses of the marmoset monkey",Abrham,Yonatan,"Brain and Cognitive Sciences, University of Rochester","All animals with image-forming eyes sample visual information through a “saccade and fixate” pattern of eye movements (Land and Nilsson, 2012). Here, we investigated how perisaccadic neural responses during free-viewing of natural images relate to the tuning properties of neurons in primary visual cortex (V1). We recorded from V1 in two marmoset monkeys using linear arrays as they freely viewed full-field natural scenes. We found that on average neural responses time-locked to saccade onset exhibited an early suppression followed by a post-saccadic rebound in excitatory activity. To determine whether the latency of these saccade dynamics varied with neural tuning properties we mapped tuning for spatial and temporal frequency, and orientation selectivity. In those trials marmosets free-viewed flashed full-field gratings that varied in spatial frequency and orientation. Among the neurons with significant orientation tuning, we observe a significant correlation between spatial frequency preference and the latency of post-saccadic rebound, with neurons tuned to higher spatial frequencies responding later. These results support the idea that neural responses during the saccade-fixation cycle follow coarse-to-fine distinctions proposed to operate in early visual processing (Burr, 1981; Watt, 1987; Hedge, 2008, Boi et al., 2017). ","JFM from NIH EY030998; JY from NIH R00EY032179",Yates,Jacob,"Vision Sciences, University of California at Berkeley",Mitchell,"Jude F.","Brain and Cognitive Sciences, University of Rochester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
